Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
robert covington,1000000.0,2015.0,943.0,105.0,316.0,128.0,70.0,Exact,both
duncan robinson,2027733.0,2021.0,942.0,127.0,250.0,81.0,72.0,Exact,both
smush parker,745248.0,2006.0,941.0,302.0,271.0,147.0,82.0,Exact,both
jason thompson,2035920.0,2010.0,939.0,124.0,637.0,139.0,75.0,Exact,both
tony wroten,1160040.0,2014.0,939.0,217.0,228.0,204.0,72.0,Exact,both
marcus fizer,2754000.0,2002.0,938.0,120.0,427.0,131.0,76.0,Exact,both
primoz brezec,1554000.0,2005.0,938.0,86.0,531.0,106.0,72.0,Exact,both
jordan crawford,1120440.0,2012.0,938.0,190.0,168.0,141.0,64.0,Exact,both
hedo turkoglu,2803000.0,2005.0,937.0,153.0,233.0,119.0,67.0,Exact,both
juan dixon,2500000.0,2006.0,935.0,149.0,177.0,113.0,76.0,Exact,both
marcus thornton,762195.0,2011.0,933.0,135.0,258.0,93.0,73.0,Exact,both
ty lawson,1546560.0,2011.0,933.0,377.0,209.0,137.0,80.0,Exact,both
chris kaman,2753760.0,2006.0,932.0,79.0,750.0,176.0,78.0,Exact,both
gary harris,1584480.0,2016.0,932.0,147.0,220.0,98.0,76.0,Exact,both
desmond mason,1155000.0,2002.0,931.0,104.0,351.0,104.0,75.0,Exact,both
dj augustin,650215.0,2014.0,930.0,313.0,130.0,125.0,71.0,Exact,both
thaddeus young,2105400.0,2010.0,926.0,97.0,350.0,126.0,67.0,Exact,both
vladimir radmanovic,1670000.0,2004.0,925.0,142.0,406.0,109.0,77.0,Exact,both
clarence weatherspoon,2100000.0,2001.0,924.0,103.0,796.0,112.0,82.0,Fuzzy,both
troy murphy,1409000.0,2003.0,923.0,106.0,806.0,111.0,79.0,Exact,both
kenneth faried,1311240.0,2013.0,923.0,77.0,734.0,113.0,80.0,Exact,both
max strus,1925140.0,2023.0,923.0,171.0,258.0,70.0,80.0,Exact,both
